iter	Passed	Remaining
548	85280	70057
549	85386	69862
550	85500	69672
551	85610	69480
552	85752	69315
553	85910	69162
554	86031	68980
555	86148	68794
556	86307	68642
557	86431	68463
558	86564	68291
559	86675	68101
560	86817	67937
561	86947	67763
562	87065	67579
563	87182	67396
564	87310	67221
565	87421	67033
566	87549	66858
567	87668	66677
568	87836	66533
569	87967	66361
570	88151	66229
571	88334	66096
572	88499	65949
573	88650	65792
574	88832	65658
575	89032	65538
576	89225	65411
577	89419	65285
578	89583	65137
579	89734	64980
580	89927	64852
581	90102	64712
582	90301	64589
583	90550	64501
584	90810	64421
585	90999	64289
586	91208	64172
587	91368	64020
588	91539	63875
589	91708	63729
590	91896	63596
591	92042	63434
592	92198	63279
593	92315	63097
594	92436	62918
595	92546	62733
596	92674	62559
597	92800	62383
598	92946	62222
599	93135	62090
600	93316	61952
601	93484	61805
602	93606	61628
603	93722	61447
604	93836	61265
605	94008	61121
606	94181	60977
607	94365	60841
608	94545	60701
609	94684	60535
610	94801	60356
611	94909	60171
612	95016	59986
613	95153	59819
614	95262	59635
615	95377	59456
616	95491	59275
617	95609	59098
618	95722	58918
619	95828	58733
620	95940	58553
621	96132	58421
622	96331	58293
623	96497	58145
624	96662	57997
625	96822	57846
626	97005	57708
627	97180	57565
628	97337	57412
629	97478	57249
630	97600	57075
631	97751	56918
632	97959	56794
633	98165	56669
634	98356	56535
635	98529	56391
636	98705	56248
637	98875	56101
638	99047	55956
639	99260	55834
640	99467	55708
641	99657	55572
642	99843	55434
643	100026	55294
644	100214	55156
645	100378	55006
646	100553	54861
647	100711	54707
648	100885	54562
649	101063	54418
650	101267	54289
651	101458	54152
652	101661	54022
653	101847	53882
654	102012	53731
655	102186	53585
656	102337	53427
657	102517	53284
658	102680	53132
659	102842	52979
660	103004	52826
661	103189	52685
662	103366	52540
663	103525	52386
664	103687	52233
665	103841	52076
666	104014	51929
667	104178	51777
668	104343	51625
669	104505	51472
670	104682	51327
671	104839	51171
672	105003	51019
673	105170	50868
674	105336	50717
675	105488	50559
676	105664	50413
677	105833	50263
678	106008	50116
679	106177	49965
680	106353	49818
681	106525	49670
682	106690	49517
683	106866	49371
684	107026	49216
685	107192	49064
686	107380	48922
687	107555	48775
688	107728	48626
689	107899	48476
690	108073	48328
691	108237	48174
692	108407	48024
693	108569	47870
694	108744	47722
695	108917	47573
696	109076	47417
697	109238	47263
698	109418	47117
699	109598	46970
700	109775	46822
701	109944	46671
702	110112	46519
703	110284	46369
704	110458	46220
705	110631	46070
706	110814	45924
707	110977	45770
708	111139	45615
709	111320	45468
710	111519	45329
711	111701	45182
712	111886	45037
713	112057	44885
714	112224	44732
715	112438	44598
716	112625	44453
717	112808	44306
718	112940	44139
719	113064	43969
720	113175	43794
721	113315	43631
722	113548	43503
723	113716	43350
724	113880	43196
725	114043	43041
726	114213	42889
727	114378	42734
728	114539	42579
729	114712	42427
730	114824	42254
731	114970	42093
732	115087	41921
733	115225	41757
734	115350	41589
735	115462	41415
736	115579	41244
737	115695	41073
738	115839	40912
739	116048	40773
740	116236	40627
741	116433	40484
742	116585	40326
743	116695	40153
744	116808	39981
745	116926	39811
746	117071	39650
747	117258	39504
748	117385	39337
749	117514	39171
750	117693	39022
751	117874	38873
752	118070	38729
753	118248	38579
754	118423	38428
755	118566	38267
756	118697	38102
757	118817	37933
758	118935	37764
759	119047	37593
760	119156	37422
761	119268	37251
762	119379	37081
763	119492	36911
764	119606	36741
765	119726	36574
766	119839	36404
767	119952	36235
768	120068	36067
769	120181	35898
770	120298	35730
771	120418	35564
772	120535	35396
773	120653	35229
774	120789	35067
775	120906	34900
776	121020	34733
777	121126	34563
778	121239	34395
779	121345	34225
780	121453	34056
781	121568	33889
782	121683	33723
783	121799	33557
784	121917	33391
785	122028	33224
786	122141	33057
787	122259	32892
788	122372	32725
789	122493	32561
790	122640	32404
791	122776	32244
792	122926	32087
793	123058	31927
794	123170	31760
795	123299	31599
796	123406	31432
797	123534	31270
798	123647	31105
799	123755	30938
800	123877	30776
801	124011	30616
802	124142	30455
803	124269	30294
804	124381	30129
805	124517	29970
806	124637	29807
807	124751	29643
808	124871	29481
809	125024	29326
810	125181	29172
811	125298	29010
812	125422	28848
813	125537	28685
814	125662	28524
815	125772	28360
816	125879	28195
817	125992	28032
818	126126	27874
819	126244	27712
820	126365	27551
821	126477	27388
822	126607	27229
823	126723	27067
824	126831	26903
825	126946	26741
826	127068	26581
827	127197	26422
828	127311	26260
829	127421	26098
830	127533	25936
831	127661	25777
832	127813	25623
833	127998	25476
834	128163	25325
835	128338	25176
836	128535	25031
837	128700	24880
838	128809	24717
839	128994	24570
840	129147	24416
841	129289	24260
842	129440	24106
843	129610	23956
844	129787	23807
845	129938	23653
846	130049	23491
847	130163	23331
848	130307	23176
849	130431	23017
850	130554	22858
851	130676	22699
852	130833	22546
853	130976	22391
854	131104	22234
855	131222	22074
856	131342	21915
857	131532	21768
858	131694	21616
859	131804	21456
860	131985	21307
861	132141	21154
862	132304	21003
863	132490	20854
864	132730	20715
865	132971	20575
866	133211	20434
867	133453	20294
868	133661	20149
869	133880	20005
870	134084	19858
871	134270	19709
872	134468	19561
873	134582	19402
874	134694	19242
875	134813	19083
876	134994	18933
877	135194	18785
878	135383	18636
879	135549	18484
880	135741	18335
881	135896	18181
882	136008	18021
883	136122	17862
884	136236	17703
885	136402	17550
886	136607	17403
887	136774	17250
888	136959	17100
889	137139	16949
890	137292	16795
891	137426	16639
892	137560	16482
893	137675	16323
894	137793	16165
895	137937	16010
896	138052	15852
897	138204	15698
898	138347	15542
899	138465	15385
900	138596	15228
901	138729	15072
902	138849	14915
903	138967	14757
904	139081	14599
905	139196	14441
906	139351	14288
907	139482	14132
908	139593	13974
909	139706	13817
910	139817	13659
911	139932	13502
912	140043	13344
913	140174	13189
914	140307	13033
915	140434	12878
916	140557	12722
917	140685	12566
918	140838	12413
919	140985	12259
920	141119	12104
921	141232	11948
922	141342	11791
923	141474	11636
924	141603	11481
925	141716	11325
926	141830	11168
927	141984	11016
928	142113	10861
929	142226	10705
930	142370	10551
931	142497	10396
932	142625	10242
933	142743	10086
934	142885	9933
935	142998	9777
936	143125	9623
937	143240	9467
938	143355	9312
939	143469	9157
940	143603	9003
941	143788	8853
942	143951	8701
943	144065	8546
944	144178	8391
945	144294	8236
946	144441	8083
947	144576	7930
948	144712	7776
949	144853	7623
950	144984	7470
951	145099	7315
952	145216	7161
953	145331	7007
954	145459	6854
955	145596	6701
956	145706	6546
957	145818	6392
958	145937	6239
959	146061	6085
960	146233	5934
961	146357	5781
962	146491	5628
963	146610	5475
964	146767	5323
965	146910	5170
966	147019	5017
967	147131	4863
968	147247	4710
969	147358	4557
970	147491	4404
971	147608	4252
972	147724	4099
973	147871	3947
974	147994	3794
975	148109	3642
976	148220	3489
977	148451	3339
978	148639	3188
979	148763	3035
980	148874	2883
981	148987	2730
982	149116	2578
983	149313	2427
984	149466	2276
985	149664	2125
986	149946	1974
987	150292	1825
988	150636	1675
989	150925	1524
990	151188	1373
991	151455	1221
992	151819	1070
993	152090	918
994	152318	765
995	152573	612
996	152805	459
997	153024	306
998	153262	153
999	153579	0
