n_features,threshold1,threshold2,accuracy,precision weighted,precision micro,precision macro,precision weighted,recall weighted,recall macro,recall micro,f1_score weighted,f1_score macro,f1_score micro
15,0.5,0.85,0.7605633802816901,0.7689792630394622,0.7605633802816901,0.7854686896529295,0.7689792630394622,0.7605633802816901,0.7291661135868766,0.7605633802816901,0.7499014728599356,0.7399824556303997,0.7605633802816901
20,0.3,0.6,0.8257042253521126,0.8330908304388208,0.8257042253521126,0.8497958446251129,0.8330908304388208,0.8257042253521126,0.7966762654549951,0.8257042253521126,0.8201861560835777,0.8143219860077341,0.8257042253521126
20,0.3,0.7,0.8274647887323944,0.8398817022608406,0.8274647887323944,0.8633236362691488,0.8398817022608406,0.8274647887323944,0.8028250404656456,0.8274647887323944,0.8213638256794593,0.8195966157078874,0.8274647887323944
20,0.3,0.85,0.8186619718309859,0.8385520205189156,0.8186619718309859,0.8633219104733347,0.8385520205189156,0.8186619718309859,0.7921635651346688,0.8186619718309859,0.8114061697148655,0.8095163110431649,0.8186619718309859
20,0.4,0.6,0.7341549295774648,0.7367333526426739,0.7341549295774648,0.7457049667658076,0.7367333526426739,0.7341549295774648,0.7146480339680856,0.7341549295774648,0.7286408356949268,0.7232078985537091,0.7341549295774648
20,0.4,0.7,0.75,0.7566995076591332,0.75,0.7685540339188945,0.7566995076591332,0.75,0.7303927394002075,0.75,0.7451149492509468,0.7418747405126138,0.75
20,0.4,0.85,0.8080985915492958,0.8253834888154385,0.8080985915492958,0.8485991301342797,0.8253834888154385,0.8080985915492958,0.7776144365668487,0.8080985915492958,0.8005362889649977,0.7963715276684666,0.8080985915492958
20,0.5,0.6,0.3767605633802817,0.366225098756481,0.3767605633802817,0.3382795904431424,0.366225098756481,0.3767605633802817,0.3377170994230627,0.3767605633802817,0.37060530617835985,0.33719956061245576,0.3767605633802817
20,0.5,0.7,0.48063380281690143,0.4836521388992383,0.48063380281690143,0.4662815063449191,0.4836521388992383,0.48063380281690143,0.4682593013961724,0.48063380281690143,0.4812122095969508,0.4661151930442126,0.48063380281690143
20,0.5,0.85,0.7588028169014085,0.7744465905688616,0.7588028169014085,0.7956925076137026,0.7744465905688616,0.7588028169014085,0.7248295496377274,0.7588028169014085,0.7459723705238012,0.7373173053379711,0.7588028169014085
30,0.3,0.6,0.8257042253521126,0.8397141337137323,0.8257042253521126,0.8635506171576651,0.8397141337137323,0.8257042253521126,0.7968185129656637,0.8257042253521126,0.8195026230390658,0.8162334385111333,0.8257042253521126
